id,commercial_name,active,inscription_date,registry_num,formula,active_ingredient,pharma_comp,pharmaceutical_form,concentration,level_price,range_price,min_presentation_price,max_presentation_price,created_at,updated_at,hash
2186,DOGMATIL 200 mg COMPRIMIDOS RANURADOS,A,1978-02-07,10069,SULPIRIDE 200 mg.,SULPIRIDE,DELPHARM DIJON,COMPRIMIDOS,200 mg.,1.03,$12.40 - $12.40,12.4,12.4,2019-12-17 17:41:28,2019-12-17 17:41:28,7df79d8b587359aab43e64b8a1be2472
2187,PANTOGAR CAPSULAS,A,1978-02-20,10089,L-CISTEINA 20 mg. + QUERATINA 20 mg. + FAEX MEDICINALIS SICCATA (SACCHAROMYCES MED. VIGAR) 100 mg. + ACIDO P-AMINOBENZOICO 20 mg. + NITRATO DE TIAMINA 60 mg. + D-PANTOTENATO DE CALCIO 60 mg.,L-CISTEINA + QUERATINA + FAEX MEDICINALIS SICCATA (SACCHAROMYCES MED. VIGAR) + ACIDO P-AMINOBENZOICO + NITRATO DE TIAMINA + D-PANTOTENATO DE CALCIO,ACINO PHARMA AG,CAPSULA,20 mg. + 20 mg. + 100 mg. + 20 mg. + 60 mg. + 60 mg.,0.44,$15.56 - $32.36,15.56,32.36,2019-12-17 17:41:28,2019-12-17 17:41:28,dafd1a03b679b9debdcde757f0b53109
2188,E-400 (VITAMINA E) CAPSULAS BLANDAS,A,1978-04-11,10144,VITAMINA E 400 UI,VITAMINA E,"GELCAPS EXPORTADORA DE MÉXICO, S.A. DE C.V.",CAPSULAS BLANDAS,400 UI,0.25,$6.00 - $15.00,6,15,2019-12-17 17:41:28,2019-12-17 17:41:28,f8ddfa558bb66a6602464d6c1913c042
2189,MENEPAROL SOLUCION ORAL ,A,1978-04-11,10147,CLORHIDRATO DE L-ARGININA 5 mg. + CLORHIDRATO DE L-ORNITINA 1.25 mg. + CIANOCOBALAMINA 25 mcg. + L - CITRULINA  1.25 mg. + EXTRACTO HEPATICO 30 mg.,CLORHIDRATO DE L-ARGININA + CLORHIDRATO DE L-ORNITINA + CIANOCOBALAMINA + L - CITRULINA  + EXTRACTO HEPATICO,"LABORATORIOS MENARINI, SA",SOLUCION ORAL,5 mg. + 1.25 mg. + 25 mcg. + 1.25 mg. + 30 mg.,0.93,$20.30 - $20.89,20.3,20.89,2019-12-17 17:41:28,2019-12-17 17:41:28,37660f3df04a99154cfe56080a233e1e
2190,DEXALER 0.125/0.1% SOLUCION OFTALMICA,A,1978-04-11,10168,DEXAMETASONA FOSFATO   0.1 g. + ANTAZOLINA FOSFATO 0.125 g.,DEXAMETASONA FOSFATO   + ANTAZOLINA FOSFATO,LABORATORIOS LAFAR,SOLUCION OFTALMICA,0.1 g. + 0.125 g.,1.02,$5.93 - $8.23,5.93,8.23,2019-12-17 17:41:28,2019-12-17 17:41:28,920767eeccb492915f4dfe03acc593b5
2191,ROWATANAL CREMA,A,1978-05-23,10199,Óxido de zinc 8 g. + Mentol 1 g. + CARBONATO DE CALCIO 5 g. + BISMUTO 2 g.,Óxido de zinc + Mentol + CARBONATO DE CALCIO + BISMUTO,ROWA PHARMACEUTICALS LIMITED,CREMA,8 g. + 1 g. + 5 g. + 2 g.,0.41,$9.09 - $9.30,9.09,9.3,2019-12-17 17:41:29,2019-12-17 17:41:29,e907db24a650213d263b97e72da86a20
2192,GELDROX COMPLEX 200 mg/ 150 mg SUSPENSION,A,1978-04-11,10243,Hidróxido de Magnesio 0.5 g. + Dimeticona 20 mg. + HIDROXIDO DE ALUMINIO  1.41 g.,Hidróxido de Magnesio + Dimeticona + HIDROXIDO DE ALUMINIO ,LABORATORIO COFASA,SUSPENSION,0.5 g. + 20 mg. + 1.41 g.,0.04,$7.53 - $7.53,7.53,7.53,2019-12-17 17:41:29,2019-12-17 17:41:29,4860b4e9ebd66db955e3bcb0df18fe34
2193,SULFATO FERROSO 200 mg/5 mL JARABE,A,1978-03-28,10265,Sulfato ferroso 40 g.,Sulfato ferroso,LABORATORIO COFASA,JARABE,40 g.,0.06,$7.47 - $7.47,7.47,7.47,2019-12-17 17:41:29,2019-12-17 17:41:29,123b99c694b7d22341416a4d172295da
2194,GRAVIDEX 50 mg/mL  SOLUCION INYECTABLE,A,1978-08-22,10294,Dimenhidrinato 50 mg. + Dimenhidrinato 50 mg.,Dimenhidrinato + Dimenhidrinato,"LABORATORIOS ARSAL, S.A. DE C.V.",SOLUCION INYECTABLE,50 mg. + 50 mg.,,,,,2019-12-17 17:41:29,2019-12-17 17:41:29,a2d0e37907e2309dba1c1c330a196fcf
2195,HIDROCLOROTIAZIDA 25 mg COFASA TABLETAS,A,1979-09-05,10401,HIDROCLOROTIAZIDA 25 mg.,HIDROCLOROTIAZIDA,LABORATORIO COFASA,TABLETAS,25 mg.,0.11,$3.33 - $3.33,3.33,3.33,2019-12-17 17:41:29,2019-12-17 17:41:29,92a3e2a3acb6a6cd94574c5dd5a7d2b9
2196,TINTURA THIMEROSAL AL 1: 1000,A,1978-10-24,10412,THIMEROSAL 0.16 g.,THIMEROSAL,"LABORATORIOS CAROSA, S.A. DE C.V.",TINTURA,0.16 g.,0.22,$6.66 - $6.66,6.66,6.66,2019-12-17 17:41:29,2019-12-17 17:41:29,b45f02ca682756ec9780988033836c31
2197,BIPERIDENO 2mg TABLETAS PHARMEDIC,A,1978-09-19,10440,BIPERIDENO CLORHIDRATO 2 mg.,BIPERIDENO CLORHIDRATO,LABORATORIOS PHARMEDIC,TABLETAS,2 mg.,0.14,$3.28 - $6.44,3.28,6.44,2019-12-17 17:41:29,2019-12-17 17:41:29,06ea1d856dff1c260b7c9f7cfac3d545
2198,TONICON B-12 GRAGEAS,A,1979-01-16,10544,TIAMINA CLORHIDRATO 10 mg. + RIBOFLAVINA USP 5 mg. + CIANOCOBALAMINA 50 mg. + Sulfato ferroso 50 mg. + D-PANTENOL 5 mg. + NIACINAMIDA 50 mg.,TIAMINA CLORHIDRATO + RIBOFLAVINA USP + CIANOCOBALAMINA + Sulfato ferroso + D-PANTENOL + NIACINAMIDA,LABORATORIOS RADON,GRAGEAS,10 mg. + 5 mg. + 50 mg. + 50 mg. + 5 mg. + 50 mg.,0.19,$5.67 - $5.67,5.67,5.67,2019-12-17 17:41:29,2019-12-17 17:41:29,26167bdf2f59784892b17adfb53e111e
2199,MEGAFOL-9  5 mg TABLETAS,A,1965-08-10,106,Ácido fólico 5 mg.,Ácido fólico,"LABORATORIOS ARSAL, S.A. DE C.V.",TABLETA,5 mg.,0.19,$6.34 - $17.71,6.34,17.71,2019-12-17 17:41:29,2019-12-17 17:41:29,154f9f1fcdcb6c2276b542941e8fa75c
2200,AMOXICILINA MK® 500mg CAPSULA,A,1979-02-13,10607,AMOXICILINA TRIHIDRATADA 574.71 mg.,AMOXICILINA TRIHIDRATADA,"CORPORACION BONIMA, S.A. DE C.V.",CAPSULA,574.71 mg.,0.29,$8.66 - $8.66,8.66,8.66,2019-12-17 17:41:29,2019-12-17 17:41:29,4c5f3a9d688f5b5db0e0bacef3b58796
2201,AMOXICILINA MK® 125mg/5mL POLVO PARA SUSPENSION,A,1979-02-13,10608,AMOXICILINA TRIHIDRATO 154.5 mg.,AMOXICILINA TRIHIDRATO,"CORPORACION BONIMA, S.A. DE C.V.",POLVO PARA SUSPENSIÓN,154.5 mg.,0.06,$3.75 - $3.75,3.75,3.75,2019-12-17 17:41:29,2019-12-17 17:41:29,66eb5702c884707946355301641161a9
2202,AMOXICILINA MK® 250mg/5mL POLVO PARA SUSPENSION,A,1979-02-13,10609,AMOXICILINA TRIHIDRATO 301.717 mg.,AMOXICILINA TRIHIDRATO,"CORPORACION BONIMA, S.A. DE C.V.",POLVO PARA SUSPENSIÓN,301.717 mg.,0.07,$4.04 - $6.42,4.04,6.42,2019-12-17 17:41:29,2019-12-17 17:41:29,0d70bc8e18fbc6c7e0f4c7a6ae864fe3
2203,BENCIDAMINA HCl VIJOSA 25 mg/mL SOLUCION INYECTABLE,A,1979-02-13,10629,CLORHIDRATO DE BENCIDAMINA 25 mg.,CLORHIDRATO DE BENCIDAMINA,LABORATORIOS VIJOSA,SOLUCION INYECTABLE,25 mg.,,,,,2019-12-17 17:41:29,2019-12-17 17:41:29,16e4055960bef0c237a740eaf5e85ee0
2204,FENOBARBITAL SODICO VIJOSA 100 mg/mL SOLUCION INYECTABLE,A,1979-01-16,10630,Fenobarbital sódico 100 mg.,Fenobarbital sódico,LABORATORIOS VIJOSA,SOLUCION INYECTABLE,100 mg.,,,,,2019-12-17 17:41:29,2019-12-17 17:41:29,efba4351f0cab7a5e08abc5922ff7d0a
2205,PULMO GRIP BALSAMICO NORDIC SOLUCION INYECTABLE,A,1979-01-16,10631,DIPIRONA 500 mg. + Clorfeniramina Maleato 4 mg. + Clorhidrato de fenilefrina 2 mg. + Guaifenesina 200 mg. + A.B.O.B. 300 mg.,DIPIRONA + Clorfeniramina Maleato + Clorhidrato de fenilefrina + Guaifenesina + A.B.O.B.,LABORATORIOS VIJOSA,SOLUCION INYECTABLE,500 mg. + 4 mg. + 2 mg. + 200 mg. + 300 mg.,2.53,$2.53 - $2.53,2.53,2.53,2019-12-17 17:41:29,2019-12-17 17:41:29,060d6f5e6a403ea7224a466ba537db7f
2206,SULFATO FERROSO RADON FORTE GRAGEAS,A,1979-02-27,10646,Tiamina clorhidrato 25 mg. + Cianocobalamina 30 mcg. + Sulfato ferroso 130 mg. + EXTRACTO DE HIGADO 130 mg.,Tiamina clorhidrato + Cianocobalamina + Sulfato ferroso + EXTRACTO DE HIGADO,LABORATORIOS RADON,GRAGEAS,25 mg. + 30 mcg. + 130 mg. + 130 mg.,0.47,$2.06 - $8.79,2.06,8.79,2019-12-17 17:41:29,2019-12-17 17:41:29,0f81c92984e2536d882ba5b687112dd8
2207,CLORURO DE SODIO VIJOSA 2% SOLUCION INYECTABLE,A,1979-02-27,10648,Cloruro de sodio 20 mg.,Cloruro de sodio,LABORATORIOS VIJOSA,SOLUCION INYECTABLE,20 mg.,0.07,$0.74 - $0.74,0.74,0.74,2019-12-17 17:41:29,2019-12-17 17:41:29,7340d3e1bf99e1201c133b79f0233200
2208,METOCARBAMOL VIJOSA 100 mg/mL SOLUCION INYECTABLE,A,1979-02-27,10649,Metocarbamol 1 g.,Metocarbamol,LABORATORIOS VIJOSA,SOLUCION INYECTABLE,1 g.,0.29,$1.85 - $4.00,1.85,4,2019-12-17 17:41:29,2019-12-17 17:41:29,e88b91bff64b98818fb36b73f4f29ae4
2209,BEBETINA® 80 mg TABLETA MASTICABLE,A,1979-03-20,10653,Paracetamol 80 mg.,Paracetamol,LABORATORIO FARMACEUTICO VIDES,TABLETAS MASTICABLES,80 mg.,0.07,$6.76 - $6.76,6.76,6.76,2019-12-17 17:41:29,2019-12-17 17:41:29,a78965b10a40006da66c9ce73c75c1dd
2210,ZINNAT 750mg INYECTABLE,A,1979-01-17,10661,CEFUROXIMA SODICA 789 mg.,CEFUROXIMA SODICA,GLAXOSMITHKLINE MANUFACTURING SPA.,POLVO PARA SUSPENSIÓN,789 mg.,0.02,$11.67 - $11.67,11.67,11.67,2019-12-17 17:41:29,2019-12-17 17:41:29,a65ef61935ab1387b1083e0417aee225
2211,PULMO-GRIP 5 cc NORDIC INYECTABLE,A,1979-03-20,10678,Clorfeniramina Maleato 8 mg. + Clorhidrato de fenilefrina 3 mg. + N ANHIDROBIS BIGUANIDA (ABOB) 500 mg.,Clorfeniramina Maleato + Clorhidrato de fenilefrina + N ANHIDROBIS BIGUANIDA (ABOB),LABORATORIOS VIJOSA,SOLUCION INYECTABLE,8 mg. + 3 mg. + 500 mg.,0.53,$2.65 - $2.65,2.65,2.65,2019-12-17 17:41:29,2019-12-17 17:41:29,f55c666af092e72b0d35ff1faaf4f30e
2212,ERITROMICINA MK 500mg TABLETA,A,1979-03-20,10697,ESTEARATO DE ERITROMICINA 850.34 mg.,ESTEARATO DE ERITROMICINA,"CORPORACION BONIMA, S.A. DE C.V.",TABLETAS,850.34 mg.,0.23,$11.74 - $11.74,11.74,11.74,2019-12-17 17:41:29,2019-12-17 17:41:29,cf92daf2e49068756cb5c3bf0985c040
2213,MELADININA 10.000mg TABLETAS,A,1979-04-03,10717,METOXALENO 10 mg.,METOXALENO,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.",TABLETAS,10 mg.,0.53,$15.82 - $15.82,15.82,15.82,2019-12-17 17:41:29,2019-12-17 17:41:29,dd4a10edbef7984f7ca825599301c7f4
2214,DEXATOR TABLETAS,A,1979-05-08,10741,Dexametasona 0.5 mg.,Dexametasona,LABORATORIOS PHARMATOR,TABLETAS,0.5 mg.,,,,,2019-12-17 17:41:29,2019-12-17 17:41:29,7c58c193a9cb684f445ebb8965bc7487
2215,METROFAR TABLETAS,A,1979-05-08,10746,Metronidazol 500 mg.,Metronidazol,LABORATORIOS PHARMATOR,TABLETAS,500 mg.,,,,,2019-12-17 17:41:29,2019-12-17 17:41:29,0c465294382192beaa9836eca232ec6c
2216,VIGOREX  SOLUCION ORAL ,A,1979-05-08,10753,GLICEROFOSFATO DE MAGNESIO 16 mg. + GLICEROFOSFATO DE CALCIO 37.5 mg. + Hierro amoniacal citrato 100 mg. + Riboflavina 5´-Fosfato de sodio 3 mg. + TIAMINA HCL 5 mg. + CIANOCOBALAMINA 50 mcg. + PIRIDOXINA HCL 3 mg.,GLICEROFOSFATO DE MAGNESIO + GLICEROFOSFATO DE CALCIO + Hierro amoniacal citrato + Riboflavina 5´-Fosfato de sodio + TIAMINA HCL + CIANOCOBALAMINA + PIRIDOXINA HCL,LABORATORIO FARMACEUTICO FARDEL,SOLUCION ORAL,16 mg. + 37.5 mg. + 100 mg. + 3 mg. + 5 mg. + 50 mcg. + 3 mg.,0.08,$11.61 - $11.61,11.61,11.61,2019-12-17 17:41:29,2019-12-17 17:41:29,aa32d13b82bbdecabdad9b627237a2d4
2217,INTESTOCORT SUSPENSION,A,2008-05-22,10774,SULFATO DE DIHIDROESTREPTOMICINA 2 g. + Sulfaguanidina 10 g. + PECTINA CITRICA 0.6 g.,SULFATO DE DIHIDROESTREPTOMICINA + Sulfaguanidina + PECTINA CITRICA,LABORATORIO FARMACEUTICO FARDEL,SUSPENSION,2 g. + 10 g. + 0.6 g.,0.13,$7.67 - $7.67,7.67,7.67,2019-12-17 17:41:30,2019-12-17 17:41:30,c233aa5d30fda6fd163e34c0755a67bf
2218,TUSSYN JARABE,A,1979-05-08,10775,DEXTROMETORFAN HBr 5 mg. + GUAYACOLATO DE GLICERILO 100 mg. + CLORFENIRAMINA MALEATO 5 mg.,DEXTROMETORFAN HBr + GUAYACOLATO DE GLICERILO + CLORFENIRAMINA MALEATO,LABORATORIOS MEDIKEM,JARABE,5 mg. + 100 mg. + 5 mg.,0.05,$6.51 - $6.51,6.51,6.51,2019-12-17 17:41:30,2019-12-17 17:41:30,a06e877dbc106cc44e2e4055bc01f2a1
2219,OXITOCINA VIJOSA 2 U.I./mL SOLUCION INYECTABLE,A,1979-06-05,10828,Oxitocina 2 UI,Oxitocina,LABORATORIOS VIJOSA,SOLUCION INYECTABLE,2 UI,,,,,2019-12-17 17:41:30,2019-12-17 17:41:30,632416c4b178f0a62ccbfeb380396ec2
2220,CONTRACTUBEX GEL,A,1979-06-19,10868,ALANTOÍNA 1 g. + HEPARINA SODICA 5000 IE + EXTR. CEPAE FLUID. 10 g.,ALANTOÍNA + HEPARINA SODICA + EXTR. CEPAE FLUID.,MERZ PHARMA GMBH & CO. KGAA,GEL,1 g. + 5000 IE + 10 g.,0.47,$11.35 - $19.04,11.35,19.04,2019-12-17 17:41:30,2019-12-17 17:41:30,dd904fbd5648dad539bc4391672d5eb8
2221,PIRAZINAMIDA 500mg TABLETAS ECOMED,A,1978-12-05,10874,PIRAZINAMIDA 500 mg.,PIRAZINAMIDA,LABORATORIOS PHARMEDIC,TABLETA,500 mg.,,,,,2019-12-17 17:41:30,2019-12-17 17:41:30,f3e1835507a992392ca88cf1f9d1fda7
2222,HIDROCORTAL CON ANTIBIOTICOS UNGÜENTO,A,1979-06-19,10885,Neomicina 0.3 g. + Bacitracina de Zinc 0.5 g. + Hidrocortisona acetato 1 g.,Neomicina + Bacitracina de Zinc + Hidrocortisona acetato,LABORATORIO COFASA,UNGUENTO,0.3 g. + 0.5 g. + 1 g.,0.4,$6.04 - $6.04,6.04,6.04,2019-12-17 17:41:30,2019-12-17 17:41:30,2b97350e9161466b6601cad850eb81c4
2223,NUTROL -A-P ELIXIR,A,1979-07-24,10923,TIAMINA CLORHIDRATO (VITAMINA B1) 20 mg. + VITAMINA B12 (CIANOCOBALAMINA) 3000 mcg.,TIAMINA CLORHIDRATO (VITAMINA B1) + VITAMINA B12 (CIANOCOBALAMINA),LABORATORIO FARMACEUTICO FARDEL,ELIXIR,20 mg. + 3000 mcg.,0.07,$8.42 - $8.42,8.42,8.42,2019-12-17 17:41:30,2019-12-17 17:41:30,47f3217eb6802ce5c22996eebe8e886b
2224,KAOKEM SUSPENSION,A,1979-07-03,10929,KAOLIN 375 mg. + Neomicina 50 mg. + METILBROMURO DE ATROPINA 0.85 mg. + PECTINA CITRICA 28 mg.,KAOLIN + Neomicina + METILBROMURO DE ATROPINA + PECTINA CITRICA,LABORATORIOS MEDIKEM,SUSPENSION,375 mg. + 50 mg. + 0.85 mg. + 28 mg.,0.08,$6.86 - $6.86,6.86,6.86,2019-12-17 17:41:30,2019-12-17 17:41:30,2d31b470224e1507e89494652d18c65e
8977,TRIMETOPRIM  SULFAMETOXAZOL DIAGNOS BP SUSPENSION 40-200 mg/ 5mL,A,2019-07-18,,,,,,,,,,,2019-12-17 17:46:12,2019-12-17 17:46:12,c3c38f08bd5c2470b222f474a6ed2945
2225,CANESTEN V1% CREMA VAGINAL,A,1978-07-24,10932,Clotrimazol 1 g. + Clotrimazol 1 g.,Clotrimazol + Clotrimazol,LABORATORIO FARMACEUTICO BAYER ,CREMA VAGINAL,1 g. + 1 g.,0.44,$15.55 - $15.55,15.55,15.55,2019-12-17 17:41:30,2019-12-17 17:41:30,e59bf81aef2c50d0b1e17da8857163b1
2226,FARMINOFEN 120mg/5mL JARABE,A,1979-07-24,10970,Paracetamol 120 mg.,Paracetamol,LABORATORIOS LAFAR,JARABE,120 mg.,,,,,2019-12-17 17:41:30,2019-12-17 17:41:30,c7c78e72774df87e7e6fde45e2933a2b
2227,SEPTRAN FORTE TABLETAS,A,1979-08-14,10971,Sulfametoxazol 800 mg. + Trimetoprim 160 mg.,Sulfametoxazol + Trimetoprim,"GLAXOSMITHKLINE MEXICO, S.A. DE C.V.",TABLETAS,800 mg. + 160 mg.,0.47,$6.97 - $7.51,6.97,7.51,2019-12-17 17:41:30,2019-12-17 17:41:30,2cfa5efe7ff8d1bcf59ad3c85e9242bb
2228,DAKTARIN  2 g/100 g GEL,A,1979-08-28,10990,MICONAZOL NITRATO 2 g.,MICONAZOL NITRATO,"JANSSEN CILAG, S.A. DE C.V., MEXICO",GEL,2 g.,0.19,$14.62 - $14.62,14.62,14.62,2019-12-17 17:41:30,2019-12-17 17:41:30,d7a46eff163d0be3d4966305723e5df8
2229,BOLSA PARA COLECCION Y ALMACENAMIENTO DE SANGRE CON SOLUCION ANTINCOAGULANTE DE C.P.D. (U.S.P.),A,1979-08-28,10993,ACIDO CITRICO 3.27 g. + CITRATO DE SODIO 26.3 g. + DEXTROSA 25.5 g. + FOSFATO SÓDICO 2.22 g.,ACIDO CITRICO + CITRATO DE SODIO + DEXTROSA + FOSFATO SÓDICO,"LABORATORIOS BIOGALENIC, S.A. DE C.V.",SOLUCION,3.27 g. + 26.3 g. + 25.5 g. + 2.22 g.,,,,,2019-12-17 17:41:30,2019-12-17 17:41:30,885fb1ca892f8a3fb4e400a0295f8a6e
2230,SILVERDIAZINE 1% CREMA,A,1979-09-11,11018,SULFADIAZINA 1 g.,SULFADIAZINA,LABORATORIOS PHARMEDIC,CREMA,1 g.,0.07,$5.37 - $5.50,5.37,5.5,2019-12-17 17:41:30,2019-12-17 17:41:30,ce18c89e35da0b7a59bc111c906fa4b7
2231,DEPAKENE 250 mg/5 mL JARABE,A,1979-09-25,11045,VALPROATO DE SODIO (EQUIVALENTE A ACIDO VALPROICO) 5 g/100ml,VALPROATO DE SODIO (EQUIVALENTE A ACIDO VALPROICO),"ABBOTT LABORATORIES DE MEXICO, S.A. DE C.V.",JARABE,5 g/100ml,0.2,$23.29 - $23.88,23.29,23.88,2019-12-17 17:41:30,2019-12-17 17:41:30,35ecb1f224190236fa48de1193867e57
2232,BACZOL ANTIGRIPAL BALSAMICO SUSPENSION,A,1979-09-25,11051,DIPIRONA 250 mg. + Clorhidrato de fenilefrina 2.5 mg. + Sulfametoxazol 200 mg. + Trimetoprim 40 mg. + Guaifenesina 50 mg. + CLORFENIRAMINA MALEATO 1 mg.,DIPIRONA + Clorhidrato de fenilefrina + Sulfametoxazol + Trimetoprim + Guaifenesina + CLORFENIRAMINA MALEATO,LABORATORIOS LOPEZ,SUSPENSION,250 mg. + 2.5 mg. + 200 mg. + 40 mg. + 50 mg. + 1 mg.,0.07,$4.42 - $6.76,4.42,6.76,2019-12-17 17:41:30,2019-12-17 17:41:30,f77293e1589eeacb48e5f2621d7af23d
2233,HOLOXAN 1g POLVO PARA SOLUCION INYECTABLE,A,1979-06-12,11062,IFOSFAMIDA 1 g.,IFOSFAMIDA,BAXTER ONCOLOGY GMBH,POLVO PARA SOLUCION INYECTABLE,1 g.,,,,,2019-12-17 17:41:30,2019-12-17 17:41:30,49d37e32cba60fb2d30d17032f6efe1d
2234,HOLOXAN 2g POLVO PARA SOLUCION INYECTABLE,A,1979-06-05,11063,IFOSFAMIDA 2000 mg.,IFOSFAMIDA,BAXTER ONCOLOGY GMBH,POLVO PARA SOLUCION INYECTABLE,2000 mg.,,,,,2019-12-17 17:41:30,2019-12-17 17:41:30,2272f82534a4febb0bb65e989cd7b456
2235,A-D FAR UNGUENTO,A,1979-09-25,11101,Colecalciferol 20 UI + RETINOL (VITAMINA A) 150 UI,Colecalciferol + RETINOL (VITAMINA A),LABORATORIOS LAFAR,UNGUENTO,20 UI + 150 UI,,,,,2019-12-17 17:41:30,2019-12-17 17:41:30,a7be3b41c60217ab8e143546cff2c12a
2236,PAREGORIN SUSPENSION,A,1979-10-23,11105,KAOLIN 0.9 g. + Ácido benzoico 0.0015 g. + PECTINA 0.05 g. + ESENCIA DE ANIS 0.0005 g.,KAOLIN + Ácido benzoico + PECTINA + ESENCIA DE ANIS,LABORATORIOS FALMAR,SUSPENSION,0.9 g. + 0.0015 g. + 0.05 g. + 0.0005 g.,0.06,$7.21 - $7.21,7.21,7.21,2019-12-17 17:41:31,2019-12-17 17:41:31,57a4ffaaa0d4fc5a3869348f38e7e9c9
2237,SOLUCION ISOTONICA DE CLORURO DE SODIO AL 0.9% I.V. SOLUCION INYECTABLE,A,1979-10-23,11129,Cloruro de sodio 0.9 g.,Cloruro de sodio,"LABORATORIOS BIOGALENIC, S.A. DE C.V.",SOLUCION INYECTABLE,0.9 g.,0.02,$1.53 - $13.74,1.53,13.74,2019-12-17 17:41:31,2019-12-17 17:41:31,067e08d1cb671828290c6913fbeccd09
2238,"DEXTROSA 5% SOLUCION INYECTABLE
",A,1979-10-23,11130,DEXTROSA 5 g.,DEXTROSA,"LABORATORIOS BIOGALENIC, S.A. DE C.V.",SOLUCION INYECTABLE,5 g.,0.02,$2.14 - $3.30,2.14,3.3,2019-12-17 17:41:31,2019-12-17 17:41:31,19e31934b81c4fe7cde120dcc0e8887c
